"frame1","frame2","distance"
0,0,0
0,1,15
0,2,30
0,3,45
0,4,60
0,5,75
0,6,90
0,7,105
0,8,120
0,9,135
0,10,150
0,11,165
0,12,180
0,13,195
0,14,210
0,15,225
0,16,240
0,17,255
0,18,270
0,19,285
0,20,300
0,21,315
0,22,315.35694062442957
0,23,316.4253466459348
0,24,318.1980515339464
0,25,320.66337489647924
0,26,323.80549717384355
0,27,327.6049450176233
0,28,332.03915431767985
0,29,337.08307581366347
0,30,342.70978976387585
0,31,348.89110048839024
0,32,355.59808773389096
0,33,368.9512162874653
0,34,382.4264635194589
0,35,396.01136347332255
0,36,409.69500851242987
0,37,423.46782640479313
0,38,437.3213921133975
0,39,451.2482686947397
0,40,465.2418725781247
0,41,479.2963592601137
0,42,493.4065261019558
0,43,507.56772947065895
0,44,521.7758139277826
0,45,536.0270515561691
0,46,550.3180898353243
0,47,564.6459067415614
0,48,579.0077719685635
0,49,593.4012133455744
0,50,607.8239876806442
0,51,622.2740553807462
0,52,636.7495583037337
0,53,651.2488003827723
0,54,665.7702306351644
0,55,680.312428226914
0,56,694.8740893140282
0,57,709.454015423128
0,58,724.0511031688302
0,59,738.6643351347078
0,60,753.2927717693832
0,61,756.7198953377663
0,62,760.4275113381946
0,63,764.4115383744544
0,64,768.6676785191374
0,65,773.1914381315923
0,66,777.9781487933964
0,67,783.0229881682912
0,68,788.3210006082547
0,69,793.8671173439545
0,70,799.6561761157104
0,71,805.6829401197471
0,72,811.9421161634615
0,73,818.4283719422244
0,74,825.136352368504
0,75,832.0606949015198
0,76,839.1960438419619
0,77,846.5370635713477
0,78,859.5929269136642
0,79,872.7112924673314
0,80,885.889383614004
0,81,899.1245742387425
0,82,912.4143795447329
0,83,925.7564474525684
0,84,939.1485505499116
0,85,952.5885785584456
0,86,966.0745312862771
0,87,979.6045120353417
0,88,993.1767214348109
0,89,1006.78945167299
0,90,1020.4410811016969
0,91,1034.130069188591
0,92,1047.8549517943788
0,93,1061.6143367532297
0,94,1075.4068997360953
0,95,1089.231380377925
0,96,1103.0865786510142
0,97,1116.9713514678879
0,98,1130.884609498246
0,99,1144.8253141855312
0,100,1158.7924749496779
0,101,1172.7851465635126
0,102,1186.8024266911489
0,103,1200.8434535775261
0,104,1214.9074038789952
0,105,1228.9934906255605
0,106,1243.1009613060396
0,107,1257.2290960680157
0,108,1271.3772060250255
0,109,1285.5446316639498
0,110,1299.7307413460683
0,111,1313.9349298956931
0,112,1328.1566172707194
0,113,1342.3952473098227
0,114,1356.6502865514017
0,115,1370.9212231196948
0,116,1375.590782173245
0,117,1380.407548516017
0,118,1385.369986682258
0,119,1390.476537018874
0,120,1395.725617734374
0,121,1401.1156269202054
0,122,1406.6449445400215
0,123,1412.3119343827693
0,124,1418.114945975819
0,125,1424.052316454701
0,126,1430.1223723863634
0,127,1436.3234315431882
0,128,1442.6538046253509
0,129,1449.1117969294157
0,130,1455.6957099613917
0,131,1462.4038429927623
0,132,1469.2344945583056
0,133,1476.1859638947933
0,134,1483.2565523199282
0,135,1490.4445645511275
0,136,1497.748309963994
0,137,1505.1661037905417
0,138,1512.696268257445
1,0,15
1,1,0
1,2,15
1,3,30
1,4,45
1,5,60
1,6,75
1,7,90
1,8,105
1,9,120
1,10,135
1,11,150
1,12,165
1,13,180
1,14,195
1,15,210
1,16,225
1,17,240
1,18,255
1,19,270
1,20,285
1,21,300
1,22,300.3747659175118
1,23,301.4962686336267
1,24,303.35622624235026
1,25,305.9411708155671
1,26,309.23292192132453
1,27,313.2091952673165
1,28,317.8443015062564
1,29,323.10988842807024
1,30,328.97568299191965
1,31,335.4101966249685
1,32,342.3813663153998
1,33,355.59808773389096
1,34,368.9512162874653
1,35,382.4264635194589
1,36,396.01136347332255
1,37,409.69500851242987
1,38,423.46782640479313
1,39,437.3213921133975
1,40,451.2482686947397
1,41,465.2418725781247
1,42,479.2963592601137
1,43,493.4065261019558
1,44,507.56772947065895
1,45,521.7758139277826
1,46,536.0270515561691
1,47,550.3180898353243
1,48,564.6459067415614
1,49,579.0077719685635
1,50,593.4012133455744
1,51,607.8239876806442
1,52,622.2740553807462
1,53,636.7495583037337
1,54,651.2488003827723
1,55,665.7702306351644
1,56,680.312428226914
1,57,694.8740893140282
1,58,709.454015423128
1,59,724.0511031688302
1,60,738.6643351347078
1,61,742.1590126111789
1,62,745.9390055493814
1,63,750
1,64,754.3374576408095
1,65,758.946638440411
1,66,763.8226233884409
1,67,768.9603370785778
1,68,774.3545699484184
1,69,780
1,70,785.8912138457841
1,71,792.0227269466451
1,72,798.3890029302759
1,73,804.9844718999243
1,74,811.8035476640885
1,75,818.8406438373709
1,76,826.0901887808619
1,77,833.5466393669883
1,78,846.5370635713477
1,79,859.5929269136642
1,80,872.7112924673314
1,81,885.889383614004
1,82,899.1245742387425
1,83,912.4143795447329
1,84,925.7564474525684
1,85,939.1485505499116
1,86,952.5885785584456
1,87,966.0745312862771
1,88,979.6045120353417
1,89,993.1767214348109
1,90,1006.78945167299
1,91,1020.4410811016969
1,92,1034.130069188591
1,93,1047.8549517943788
1,94,1061.6143367532297
1,95,1075.4068997360953
1,96,1089.231380377925
1,97,1103.0865786510142
1,98,1116.9713514678879
1,99,1130.884609498246
1,100,1144.8253141855312
1,101,1158.7924749496779
1,102,1172.7851465635126
1,103,1186.8024266911489
1,104,1200.8434535775261
1,105,1214.9074038789952
1,106,1228.9934906255605
1,107,1243.1009613060396
1,108,1257.2290960680157
1,109,1271.3772060250255
1,110,1285.5446316639498
1,111,1299.7307413460683
1,112,1313.9349298956931
1,113,1328.1566172707194
1,114,1342.3952473098227
1,115,1356.6502865514017
1,116,1361.3687964692008
1,117,1366.235704408284
1,118,1371.249430264239
1,119,1376.4083696345356
1,120,1381.7108959547218
1,121,1387.155362603627
1,122,1392.7401049729272
1,123,1398.4634424967999
1,124,1404.3236806377652
1,125,1410.319112825179
1,126,1416.4480223432133
1,127,1422.7086841655253
1,128,1429.099366734168
1,129,1435.6183336806478
1,130,1442.2638454873643
1,131,1449.0341610879987
1,132,1455.927539405722
1,133,1462.942240828393
1,134,1470.076528620194
1,135,1477.3286702694156
1,136,1484.6969387723543
1,137,1492.1796138535067
1,138,1499.7749831224683
2,0,30
2,1,15
2,2,0
2,3,15
2,4,30
2,5,45
2,6,60
2,7,75
2,8,90
2,9,105
2,10,120
2,11,135
2,12,150
2,13,165
2,14,180
2,15,195
2,16,210
2,17,225
2,18,240
2,19,255
2,20,270
